property,allowed_values
Author,
Title,
Publication_year,
Journal,
DOI,
Blinding,"?, Double, NI, No, Single, Triple"
Is_randomized,
Number_of_arms,
Inclusion_criteria,
Exclusion_criteria,
Comorbidity,
Types_of_cancer,"?, Adrenal Cancer, Anal Cancer, Bile Duct Cancer, Bone and Soft Tissue Cancers, Bone and Soft Tissue Cancers - Chondrosarcoma, Bone and Soft Tissue Cancers - Ewing Sarcoma, Bone and Soft Tissue Cancers - Osteosarcoma, Bone and Soft Tissue Cancers - Rhabdomyosarcoma, Bone and Soft Tissue Cancers – Liposarcoma, Brain and Central Nervous System (CNS) Cancers, Brain and Central Nervous System (CNS) Cancers - Astrocytoma, Brain and Central Nervous System (CNS) Cancers - Glioblastoma, Brain and Central Nervous System (CNS) Cancers - High-Grade Glioma, Brain and Central Nervous System (CNS) Cancers - Meningioma, Breast Cancer, Breast Cancer - Ductal Carcinoma, Breast Cancer - Inflammatory Breast Cancer, Breast Cancer - Lobular Carcinoma, Breast Cancer - Triple-Negative Breast Cancer, Carcinosarcoma, Colorectal Cancer, Colorectal Cancer - Colon Cancer, Colorectal Cancer - Rectal Cancer, Eye Cancer, Eye Cancers - Retinoblastoma, Gastrointestinal Cancers, Gastrointestinal Cancers - Esophageal Cancer, Gastrointestinal Cancers - Gallbladder Cancer, Gastrointestinal Cancers - Gastric (Stomach) Cancer, Gastrointestinal Cancers - Liver Cancer, Gastrointestinal Cancers - Pancreatic Cancer, Genitourinary Cancers, Genitourinary Cancers - Bladder Cancer, Genitourinary Cancers - Kidney (Renal) Cancer, Genitourinary Cancers - Testicular Cancer, Genitourinary Cancers - Urethral Cancer, Gynecologic Cancers, Gynecologic Cancers - Cervical Cancer, Gynecologic Cancers - Endometrial Cancer, Gynecologic Cancers - Ovarian Cancer, Gynecologic Cancers - Uterine Cancer, Gynecologic Cancers - Vulvar Cancer, Head and Neck Cancers, Head and Neck Cancers - Ethmoid Sinus Cancer, Head and Neck Cancers - Laryngeal Cancer, Head and Neck Cancers - Nasopharyngeal Cancer, Head and Neck Cancers - Oral Cancer, Head and Neck Cancers - Oropharyngeal Cancer, Head and Neck Cancers - Thyroid Cancer, Head and Neck Cancers - Tongue Cancer, Hematologic Cancers, Hematologic Cancers - Leukemia (Acute Lyb7cd3706b4e1255c7d674cbd455fc243, Hematologic Cancers - Lymphoma (Hodgkin and Non-Hodgkin), Hematologic Cancers - Multiple Myeloma, Lung Cancer, Lung Cancer - Non-Small Cell Lung Cancer, Lung Cancer - Small Cell Lung Cancer, Mesothelioma, NI, Neuroblastoma, Other Cancers, Prostate Cancer, Skin Cancer, Skin Cancer - Basal Cell Carcinoma, Skin Cancer - Squamous Cell Carcinoma, Skin Cancer – Melanoma, Solid Malignancies, Stomach Cancer, Thymoma and Thymic Carcinoma, Unspecified Sarcoma"
Stage_cancer,"?, Advanced Stage, Early Stage, NA, NI"
Perspective,"?, NI, Prospective, Retrospective"
Centralized,"?, Monocentric, Multicentric, NI"
Drop-out,
Intervention,
Duration_in_days,
